i,t,x_tip,y_tip
717,0.211377,0.291123,0.291123
718,0.211677,0.291087,0.291087
719,0.211976,0.291051,0.291051
720,0.212275,0.291015,0.291015
721,0.212575,0.290979,0.290979
722,0.212874,0.290943,0.290943
723,0.213174,0.290908,0.290908
724,0.213473,0.290872,0.290872
725,0.213772,0.290837,0.290837
726,0.214072,0.290802,0.290802
727,0.214371,0.290767,0.290767
728,0.214671,0.290733,0.290733
729,0.21497,0.290698,0.290698
730,0.215269,0.290663,0.290663
731,0.215569,0.290628,0.290628
732,0.215868,0.290594,0.290594
733,0.216168,0.29056,0.29056
734,0.216467,0.290526,0.290526
735,0.216766,0.290491,0.290491
736,0.217066,0.290456,0.290456
737,0.217365,0.290421,0.290421
738,0.217665,0.290387,0.290387
739,0.217964,0.290352,0.290352
740,0.218263,0.290319,0.290319
741,0.218563,0.290285,0.290285
742,0.218862,0.290251,0.290251
743,0.219162,0.290217,0.290217
744,0.219461,0.290184,0.290184
745,0.21976,0.29015,0.29015
746,0.22006,0.290116,0.290116
747,0.220359,0.290083,0.290083
748,0.220659,0.29005,0.29005
749,0.220958,0.290017,0.290017
750,0.221257,0.289983,0.289983
751,0.221557,0.289949,0.289949
752,0.221856,0.289916,0.289916
753,0.222156,0.289882,0.289882
754,0.222455,0.289848,0.289848
755,0.222754,0.289814,0.289814
756,0.223054,0.289781,0.289781
757,0.223353,0.289748,0.289748
758,0.223653,0.289715,0.289715
759,0.223952,0.289682,0.289682
760,0.224251,0.289649,0.289649
761,0.224551,0.289615,0.289615
762,0.22485,0.289582,0.289582
763,0.22515,0.289549,0.289549
764,0.225449,0.289515,0.289515
765,0.225749,0.289482,0.289482
766,0.226048,0.289448,0.289448
767,0.226347,0.289414,0.289414
768,0.226647,0.28938,0.28938
769,0.226946,0.289345,0.289345
770,0.227246,0.289311,0.289311
771,0.227545,0.289276,0.289276
772,0.227844,0.289242,0.289242
773,0.228144,0.289208,0.289208
774,0.228443,0.289174,0.289174
775,0.228743,0.289139,0.289139
776,0.229042,0.289104,0.289104
777,0.229341,0.289069,0.289069
778,0.229641,0.289034,0.289034
779,0.22994,0.288998,0.288998
780,0.23024,0.288964,0.288964
781,0.230539,0.288928,0.288928
782,0.230838,0.288893,0.288893
783,0.231138,0.288857,0.288857
784,0.231437,0.288821,0.288821
785,0.231737,0.288784,0.288784
786,0.232036,0.288748,0.288748
787,0.232335,0.288711,0.288711
788,0.232635,0.288675,0.288675
789,0.232934,0.288639,0.288639
790,0.233234,0.288603,0.288603
791,0.233533,0.288567,0.288567
792,0.233832,0.28853,0.28853
793,0.234132,0.288493,0.288493
794,0.234431,0.288455,0.288455
795,0.234731,0.288418,0.288418
796,0.23503,0.28838,0.28838
797,0.235329,0.288343,0.288343
798,0.235629,0.288305,0.288305
799,0.235928,0.288268,0.288268
800,0.236228,0.288229,0.288229
